ts_utc,topic,received_total,received_delta,msgs_per_sec
2026-01-18T06:18:08.8148520Z,long-run-topic-06,0,0,0
2026-01-18T06:18:08.8148520Z,long-run-topic-05,0,0,0
2026-01-18T06:18:08.8148520Z,long-run-topic-09,0,0,0
2026-01-18T06:18:08.8148520Z,long-run-topic-08,0,0,0
2026-01-18T06:18:08.8148520Z,long-run-topic-07,0,0,0
2026-01-18T06:18:08.8148520Z,long-run-topic-10,0,0,0
2026-01-18T06:18:08.8148520Z,long-run-topic-01,0,0,0
2026-01-18T06:18:08.8148520Z,long-run-topic-04,0,0,0
2026-01-18T06:18:08.8148520Z,long-run-topic-03,0,0,0
2026-01-18T06:18:08.8148520Z,long-run-topic-02,0,0,0
2026-01-18T06:18:10.3201590Z,long-run-topic-06,9,9,9
2026-01-18T06:18:10.3201590Z,long-run-topic-05,9,9,9
2026-01-18T06:18:10.3201590Z,long-run-topic-09,9,9,9
2026-01-18T06:18:10.3201590Z,long-run-topic-08,10,10,10
2026-01-18T06:18:10.3201590Z,long-run-topic-07,10,10,10
2026-01-18T06:18:10.3201590Z,long-run-topic-10,7,7,7
2026-01-18T06:18:10.3201590Z,long-run-topic-01,10,10,10
2026-01-18T06:18:10.3201590Z,long-run-topic-04,10,10,10
2026-01-18T06:18:10.3201590Z,long-run-topic-03,9,9,9
2026-01-18T06:18:10.3201590Z,long-run-topic-02,10,10,10
2026-01-18T06:18:11.3275076Z,long-run-topic-06,14,5,5
2026-01-18T06:18:11.3275076Z,long-run-topic-05,16,7,7
2026-01-18T06:18:11.3275076Z,long-run-topic-09,14,5,5
2026-01-18T06:18:11.3275076Z,long-run-topic-08,15,5,5
2026-01-18T06:18:11.3275076Z,long-run-topic-07,15,5,5
2026-01-18T06:18:11.3275076Z,long-run-topic-10,12,5,5
2026-01-18T06:18:11.3275076Z,long-run-topic-01,15,5,5
2026-01-18T06:18:11.3275076Z,long-run-topic-04,16,6,6
2026-01-18T06:18:11.3275076Z,long-run-topic-03,15,6,6
2026-01-18T06:18:11.3275076Z,long-run-topic-02,15,5,5
2026-01-18T06:18:12.3420475Z,long-run-topic-06,21,7,7
2026-01-18T06:18:12.3420475Z,long-run-topic-05,22,6,6
2026-01-18T06:18:12.3420475Z,long-run-topic-09,20,6,6
2026-01-18T06:18:12.3420475Z,long-run-topic-08,20,5,5
2026-01-18T06:18:12.3420475Z,long-run-topic-07,20,5,5
2026-01-18T06:18:12.3420475Z,long-run-topic-10,19,7,7
2026-01-18T06:18:12.3420475Z,long-run-topic-01,21,6,6
2026-01-18T06:18:12.3420475Z,long-run-topic-04,23,7,7
2026-01-18T06:18:12.3420475Z,long-run-topic-03,20,5,5
2026-01-18T06:18:12.3420475Z,long-run-topic-02,21,6,6
2026-01-18T06:18:13.3516633Z,long-run-topic-06,24,3,3
2026-01-18T06:18:13.3516633Z,long-run-topic-05,24,2,2
2026-01-18T06:18:13.3516633Z,long-run-topic-09,24,4,4
2026-01-18T06:18:13.3516633Z,long-run-topic-08,25,5,5
2026-01-18T06:18:13.3516633Z,long-run-topic-07,25,5,5
2026-01-18T06:18:13.3516633Z,long-run-topic-10,22,3,3
2026-01-18T06:18:13.3516633Z,long-run-topic-01,25,4,4
2026-01-18T06:18:13.3516633Z,long-run-topic-04,25,2,2
2026-01-18T06:18:13.3516633Z,long-run-topic-03,24,4,4
2026-01-18T06:18:13.3516633Z,long-run-topic-02,24,3,3
2026-01-18T08:02:56.4529440Z,long-run-topic-06,31,7,7
2026-01-18T08:02:56.4529440Z,long-run-topic-05,33,9,9
2026-01-18T08:02:56.4529440Z,long-run-topic-09,32,8,8
2026-01-18T08:02:56.4529440Z,long-run-topic-08,35,10,10
2026-01-18T08:02:56.4529440Z,long-run-topic-07,32,7,7
2026-01-18T08:02:56.4529440Z,long-run-topic-10,30,8,8
2026-01-18T08:02:56.4529440Z,long-run-topic-01,31,6,6
2026-01-18T08:02:56.4529440Z,long-run-topic-04,34,9,9
2026-01-18T08:02:56.4529440Z,long-run-topic-03,34,10,10
2026-01-18T08:02:56.4529440Z,long-run-topic-02,32,8,8
2026-01-18T08:02:59.6723805Z,long-run-topic-06,37,6,6
2026-01-18T08:02:59.6723805Z,long-run-topic-05,38,5,5
2026-01-18T08:02:59.6723805Z,long-run-topic-09,38,6,6
2026-01-18T08:02:59.6723805Z,long-run-topic-08,40,5,5
2026-01-18T08:02:59.6723805Z,long-run-topic-07,38,6,6
2026-01-18T08:02:59.6723805Z,long-run-topic-10,36,6,6
2026-01-18T08:02:59.6723805Z,long-run-topic-01,38,7,7
2026-01-18T08:02:59.6723805Z,long-run-topic-04,40,6,6
2026-01-18T08:02:59.6723805Z,long-run-topic-03,39,5,5
2026-01-18T08:02:59.6723805Z,long-run-topic-02,38,6,6
2026-01-18T08:03:00.6809835Z,long-run-topic-06,38,1,1
2026-01-18T08:03:00.6809835Z,long-run-topic-05,38,0,0
2026-01-18T08:03:00.6809835Z,long-run-topic-09,38,0,0
2026-01-18T08:03:00.6809835Z,long-run-topic-08,40,0,0
2026-01-18T08:03:00.6809835Z,long-run-topic-07,39,1,1
2026-01-18T08:03:00.6809835Z,long-run-topic-10,37,1,1
2026-01-18T08:03:00.6809835Z,long-run-topic-01,38,0,0
2026-01-18T08:03:00.6809835Z,long-run-topic-04,40,0,0
2026-01-18T08:03:00.6809835Z,long-run-topic-03,39,0,0
2026-01-18T08:03:00.6809835Z,long-run-topic-02,38,0,0
2026-01-18T08:03:01.6929039Z,long-run-topic-06,41,3,3
2026-01-18T08:03:01.6929039Z,long-run-topic-05,41,3,3
2026-01-18T08:03:01.6929039Z,long-run-topic-09,40,2,2
2026-01-18T08:03:01.6929039Z,long-run-topic-08,41,1,1
2026-01-18T08:03:01.6929039Z,long-run-topic-07,40,1,1
2026-01-18T08:03:01.6929039Z,long-run-topic-10,37,0,0
2026-01-18T08:03:01.6929039Z,long-run-topic-01,40,2,2
2026-01-18T08:03:01.6929039Z,long-run-topic-04,43,3,3
2026-01-18T08:03:01.6929039Z,long-run-topic-03,40,1,1
2026-01-18T08:03:01.6929039Z,long-run-topic-02,40,2,2
2026-01-18T08:03:05.4616085Z,long-run-topic-06,47,6,6
2026-01-18T08:03:05.4616085Z,long-run-topic-05,48,7,7
2026-01-18T08:03:05.4616085Z,long-run-topic-09,46,6,6
2026-01-18T08:03:05.4616085Z,long-run-topic-08,48,7,7
2026-01-18T08:03:05.4616085Z,long-run-topic-07,47,7,7
2026-01-18T08:03:05.4616085Z,long-run-topic-10,45,8,8
2026-01-18T08:03:05.4616085Z,long-run-topic-01,47,7,7
2026-01-18T08:03:05.4616085Z,long-run-topic-04,49,6,6
2026-01-18T08:03:05.4616085Z,long-run-topic-03,49,9,9
2026-01-18T08:03:05.4616085Z,long-run-topic-02,47,7,7
2026-01-18T08:03:06.4674616Z,long-run-topic-06,47,0,0
2026-01-18T08:03:06.4674616Z,long-run-topic-05,48,0,0
2026-01-18T08:03:06.4674616Z,long-run-topic-09,48,2,2
2026-01-18T08:03:06.4674616Z,long-run-topic-08,50,2,2
2026-01-18T08:03:06.4674616Z,long-run-topic-07,48,1,1
2026-01-18T08:03:06.4674616Z,long-run-topic-10,46,1,1
2026-01-18T08:03:06.4674616Z,long-run-topic-01,48,1,1
2026-01-18T08:03:06.4674616Z,long-run-topic-04,50,1,1
2026-01-18T08:03:06.4674616Z,long-run-topic-03,49,0,0
2026-01-18T08:03:06.4674616Z,long-run-topic-02,48,1,1
2026-01-18T08:03:07.4698941Z,long-run-topic-06,76,29,29
2026-01-18T08:03:07.4698941Z,long-run-topic-05,50,2,2
2026-01-18T08:03:07.4698941Z,long-run-topic-09,49,1,1
2026-01-18T08:03:07.4698941Z,long-run-topic-08,50,0,0
2026-01-18T08:03:07.4698941Z,long-run-topic-07,49,1,1
2026-01-18T08:03:07.4698941Z,long-run-topic-10,47,1,1
2026-01-18T08:03:07.4698941Z,long-run-topic-01,48,0,0
2026-01-18T08:03:07.4698941Z,long-run-topic-04,50,0,0
2026-01-18T08:03:07.4698941Z,long-run-topic-03,49,0,0
2026-01-18T08:03:07.4698941Z,long-run-topic-02,49,1,1
2026-01-18T08:03:08.4709901Z,long-run-topic-06,105,29,29
2026-01-18T08:03:08.4709901Z,long-run-topic-05,53,3,3
2026-01-18T08:03:08.4709901Z,long-run-topic-09,75,26,26
2026-01-18T08:03:08.4709901Z,long-run-topic-08,53,3,3
2026-01-18T08:03:08.4709901Z,long-run-topic-07,105,56,56
2026-01-18T08:03:08.4709901Z,long-run-topic-10,70,23,23
2026-01-18T08:03:08.4709901Z,long-run-topic-01,112,64,64
2026-01-18T08:03:08.4709901Z,long-run-topic-04,130,80,80
2026-01-18T08:03:08.4709901Z,long-run-topic-03,130,81,81
2026-01-18T08:03:08.4709901Z,long-run-topic-02,88,39,39
2026-01-18T08:03:09.4727721Z,long-run-topic-06,133,28,28
2026-01-18T08:03:09.4727721Z,long-run-topic-05,53,0,0
2026-01-18T08:03:09.4727721Z,long-run-topic-09,100,25,25
2026-01-18T08:03:09.4727721Z,long-run-topic-08,54,1,1
2026-01-18T08:03:09.4727721Z,long-run-topic-07,133,28,28
2026-01-18T08:03:09.4727721Z,long-run-topic-10,70,0,0
2026-01-18T08:03:09.4727721Z,long-run-topic-01,112,0,0
2026-01-18T08:03:09.4727721Z,long-run-topic-04,130,0,0
2026-01-18T08:03:09.4727721Z,long-run-topic-03,130,0,0
2026-01-18T08:03:09.4727721Z,long-run-topic-02,88,0,0
2026-01-18T08:03:10.4758592Z,long-run-topic-06,134,1,1
2026-01-18T08:03:10.4758592Z,long-run-topic-05,53,0,0
2026-01-18T08:03:10.4758592Z,long-run-topic-09,125,25,25
2026-01-18T08:03:10.4758592Z,long-run-topic-08,55,1,1
2026-01-18T08:03:10.4758592Z,long-run-topic-07,161,28,28
2026-01-18T08:03:10.4758592Z,long-run-topic-10,71,1,1
2026-01-18T08:03:10.4758592Z,long-run-topic-01,113,1,1
2026-01-18T08:03:10.4758592Z,long-run-topic-04,150,20,20
2026-01-18T08:03:10.4758592Z,long-run-topic-03,130,0,0
2026-01-18T08:03:10.4758592Z,long-run-topic-02,107,19,19
2026-01-18T08:03:11.4756556Z,long-run-topic-06,162,28,28
2026-01-18T08:03:11.4756556Z,long-run-topic-05,76,23,23
2026-01-18T08:03:11.4756556Z,long-run-topic-09,150,25,25
2026-01-18T08:03:11.4756556Z,long-run-topic-08,55,0,0
2026-01-18T08:03:11.4756556Z,long-run-topic-07,191,30,30
2026-01-18T08:03:11.4756556Z,long-run-topic-10,92,21,21
2026-01-18T08:03:11.4756556Z,long-run-topic-01,142,29,29
2026-01-18T08:03:11.4756556Z,long-run-topic-04,170,20,20
2026-01-18T08:03:11.4756556Z,long-run-topic-03,130,0,0
2026-01-18T08:03:11.4756556Z,long-run-topic-02,126,19,19
2026-01-18T08:03:12.4779385Z,long-run-topic-06,218,56,56
2026-01-18T08:03:12.4779385Z,long-run-topic-05,118,42,42
2026-01-18T08:03:12.4779385Z,long-run-topic-09,201,51,51
2026-01-18T08:03:12.4779385Z,long-run-topic-08,58,3,3
2026-01-18T08:03:12.4779385Z,long-run-topic-07,220,29,29
2026-01-18T08:03:12.4779385Z,long-run-topic-10,135,43,43
2026-01-18T08:03:12.4779385Z,long-run-topic-01,221,79,79
2026-01-18T08:03:12.4779385Z,long-run-topic-04,210,40,40
2026-01-18T08:03:12.4779385Z,long-run-topic-03,258,128,128
2026-01-18T08:03:12.4779385Z,long-run-topic-02,191,65,65
2026-01-18T08:03:17.0076331Z,long-run-topic-06,386,168,168
2026-01-18T08:03:17.0076331Z,long-run-topic-05,223,105,105
2026-01-18T08:03:17.0076331Z,long-run-topic-09,357,156,156
2026-01-18T08:03:17.0076331Z,long-run-topic-08,190,132,132
2026-01-18T08:03:17.0076331Z,long-run-topic-07,426,206,206
2026-01-18T08:03:17.0076331Z,long-run-topic-10,161,26,26
2026-01-18T08:03:17.0076331Z,long-run-topic-01,390,169,169
2026-01-18T08:03:17.0076331Z,long-run-topic-04,375,165,165
2026-01-18T08:03:17.0076331Z,long-run-topic-03,393,135,135
2026-01-18T08:03:17.0076331Z,long-run-topic-02,335,144,144
2026-01-18T08:03:18.0098792Z,long-run-topic-06,442,56,56
2026-01-18T08:03:18.0098792Z,long-run-topic-05,271,48,48
2026-01-18T08:03:18.0098792Z,long-run-topic-09,409,52,52
2026-01-18T08:03:18.0098792Z,long-run-topic-08,190,0,0
2026-01-18T08:03:18.0098792Z,long-run-topic-07,455,29,29
2026-01-18T08:03:18.0098792Z,long-run-topic-10,161,0,0
2026-01-18T08:03:18.0098792Z,long-run-topic-01,390,0,0
2026-01-18T08:03:18.0098792Z,long-run-topic-04,402,27,27
2026-01-18T08:03:18.0098792Z,long-run-topic-03,393,0,0
2026-01-18T08:03:18.0098792Z,long-run-topic-02,360,25,25
2026-01-18T08:03:19.0242146Z,long-run-topic-06,498,56,56
2026-01-18T08:03:19.0242146Z,long-run-topic-05,325,54,54
2026-01-18T08:03:19.0242146Z,long-run-topic-09,461,52,52
2026-01-18T08:03:19.0242146Z,long-run-topic-08,274,84,84
2026-01-18T08:03:19.0242146Z,long-run-topic-07,517,62,62
2026-01-18T08:03:19.0242146Z,long-run-topic-10,190,29,29
2026-01-18T08:03:19.0242146Z,long-run-topic-01,480,90,90
2026-01-18T08:03:19.0242146Z,long-run-topic-04,456,54,54
2026-01-18T08:03:19.0242146Z,long-run-topic-03,504,111,111
2026-01-18T08:03:19.0242146Z,long-run-topic-02,435,75,75
2026-01-18T08:03:20.0283324Z,long-run-topic-06,498,0,0
2026-01-18T08:03:20.0283324Z,long-run-topic-05,325,0,0
2026-01-18T08:03:20.0283324Z,long-run-topic-09,461,0,0
2026-01-18T08:03:20.0283324Z,long-run-topic-08,274,0,0
2026-01-18T08:03:20.0283324Z,long-run-topic-07,517,0,0
2026-01-18T08:03:20.0283324Z,long-run-topic-10,191,1,1
2026-01-18T08:03:20.0283324Z,long-run-topic-01,510,30,30
2026-01-18T08:03:20.0283324Z,long-run-topic-04,456,0,0
2026-01-18T08:03:20.0283324Z,long-run-topic-03,532,28,28
2026-01-18T08:03:20.0283324Z,long-run-topic-02,435,0,0
2026-01-18T08:03:24.6202000Z,long-run-topic-06,666,168,168
2026-01-18T08:03:24.6202000Z,long-run-topic-05,457,132,132
2026-01-18T08:03:24.6202000Z,long-run-topic-09,619,158,158
2026-01-18T08:03:24.6202000Z,long-run-topic-08,470,196,196
2026-01-18T08:03:24.6202000Z,long-run-topic-07,733,216,216
2026-01-18T08:03:24.6202000Z,long-run-topic-10,328,137,137
2026-01-18T08:03:24.6202000Z,long-run-topic-01,690,180,180
2026-01-18T08:03:24.6202000Z,long-run-topic-04,645,189,189
2026-01-18T08:03:24.6202000Z,long-run-topic-03,672,140,140
2026-01-18T08:03:24.6202000Z,long-run-topic-02,588,153,153
2026-01-18T08:03:29.3201792Z,long-run-topic-06,866,200,200
2026-01-18T08:03:29.3201792Z,long-run-topic-05,624,167,167
2026-01-18T08:03:29.3201792Z,long-run-topic-09,808,189,189
2026-01-18T08:03:29.3201792Z,long-run-topic-08,610,140,140
2026-01-18T08:03:29.3201792Z,long-run-topic-07,919,186,186
2026-01-18T08:03:29.3201792Z,long-run-topic-10,496,168,168
2026-01-18T08:03:29.3201792Z,long-run-topic-01,840,150,150
2026-01-18T08:03:29.3201792Z,long-run-topic-04,807,162,162
2026-01-18T08:03:29.3201792Z,long-run-topic-03,816,144,144
2026-01-18T08:03:29.3201792Z,long-run-topic-02,744,156,156
2026-01-18T08:03:30.3312734Z,long-run-topic-06,924,58,58
2026-01-18T08:03:30.3312734Z,long-run-topic-05,708,84,84
2026-01-18T08:03:30.3312734Z,long-run-topic-09,862,54,54
2026-01-18T08:03:30.3312734Z,long-run-topic-08,668,58,58
2026-01-18T08:03:30.3312734Z,long-run-topic-07,979,60,60
2026-01-18T08:03:30.3312734Z,long-run-topic-10,552,56,56
2026-01-18T08:03:30.3312734Z,long-run-topic-01,900,60,60
2026-01-18T08:03:30.3312734Z,long-run-topic-04,834,27,27
2026-01-18T08:03:30.3312734Z,long-run-topic-03,903,87,87
2026-01-18T08:03:30.3312734Z,long-run-topic-02,822,78,78
2026-01-18T08:03:31.3282559Z,long-run-topic-06,924,0,0
2026-01-18T08:03:31.3282559Z,long-run-topic-05,708,0,0
2026-01-18T08:03:31.3282559Z,long-run-topic-09,862,0,0
2026-01-18T08:03:31.3282559Z,long-run-topic-08,697,29,29
2026-01-18T08:03:31.3282559Z,long-run-topic-07,979,0,0
2026-01-18T08:03:31.3282559Z,long-run-topic-10,580,28,28
2026-01-18T08:03:31.3282559Z,long-run-topic-01,930,30,30
2026-01-18T08:03:31.3282559Z,long-run-topic-04,861,27,27
2026-01-18T08:03:31.3282559Z,long-run-topic-03,961,58,58
2026-01-18T08:03:31.3282559Z,long-run-topic-02,822,0,0
2026-01-18T08:03:36.1635943Z,long-run-topic-06,1098,174,174
2026-01-18T08:03:36.1635943Z,long-run-topic-05,850,142,142
2026-01-18T08:03:36.1635943Z,long-run-topic-09,1024,162,162
2026-01-18T08:03:36.1635943Z,long-run-topic-08,867,170,170
2026-01-18T08:03:36.1635943Z,long-run-topic-07,1194,215,215
2026-01-18T08:03:36.1635943Z,long-run-topic-10,748,168,168
2026-01-18T08:03:36.1635943Z,long-run-topic-01,1140,210,210
2026-01-18T08:03:36.1635943Z,long-run-topic-04,1050,189,189
2026-01-18T08:03:36.1635943Z,long-run-topic-03,1106,145,145
2026-01-18T08:03:36.1635943Z,long-run-topic-02,954,132,132
2026-01-18T08:03:41.3194014Z,long-run-topic-06,1272,174,174
2026-01-18T08:03:41.3194014Z,long-run-topic-05,1052,202,202
2026-01-18T08:03:41.3194014Z,long-run-topic-09,1186,162,162
2026-01-18T08:03:41.3194014Z,long-run-topic-08,1045,178,178
2026-01-18T08:03:41.3194014Z,long-run-topic-07,1379,185,185
