ts_utc,topic,received_total,received_delta,msgs_per_sec
2026-01-17T00:25:44.5326993Z,long-run-topic-06,0,0,0
2026-01-17T00:25:44.5326993Z,long-run-topic-05,0,0,0
2026-01-17T00:25:44.5326993Z,long-run-topic-09,0,0,0
2026-01-17T00:25:44.5326993Z,long-run-topic-08,0,0,0
2026-01-17T00:25:44.5326993Z,long-run-topic-07,0,0,0
2026-01-17T00:25:44.5326993Z,long-run-topic-10,0,0,0
2026-01-17T00:25:44.5326993Z,long-run-topic-01,0,0,0
2026-01-17T00:25:44.5326993Z,long-run-topic-04,0,0,0
2026-01-17T00:25:44.5326993Z,long-run-topic-03,0,0,0
2026-01-17T00:25:44.5326993Z,long-run-topic-02,0,0,0
2026-01-17T00:25:45.5360290Z,long-run-topic-06,0,0,0
2026-01-17T00:25:45.5360290Z,long-run-topic-05,0,0,0
2026-01-17T00:25:45.5360290Z,long-run-topic-09,0,0,0
2026-01-17T00:25:45.5360290Z,long-run-topic-08,0,0,0
2026-01-17T00:25:45.5360290Z,long-run-topic-07,0,0,0
2026-01-17T00:25:45.5360290Z,long-run-topic-10,0,0,0
2026-01-17T00:25:45.5360290Z,long-run-topic-01,0,0,0
2026-01-17T00:25:45.5360290Z,long-run-topic-04,0,0,0
2026-01-17T00:25:45.5360290Z,long-run-topic-03,0,0,0
2026-01-17T00:25:45.5360290Z,long-run-topic-02,0,0,0
2026-01-17T00:25:46.5511400Z,long-run-topic-06,4,4,4
2026-01-17T00:25:46.5511400Z,long-run-topic-05,3,3,3
2026-01-17T00:25:46.5511400Z,long-run-topic-09,4,4,4
2026-01-17T00:25:46.5511400Z,long-run-topic-08,4,4,4
2026-01-17T00:25:46.5511400Z,long-run-topic-07,3,3,3
2026-01-17T00:25:46.5511400Z,long-run-topic-10,2,2,2
2026-01-17T00:25:46.5511400Z,long-run-topic-01,3,3,3
2026-01-17T00:25:46.5511400Z,long-run-topic-04,3,3,3
2026-01-17T00:25:46.5511400Z,long-run-topic-03,3,3,3
2026-01-17T00:25:46.5511400Z,long-run-topic-02,3,3,3
2026-01-17T00:25:47.5558020Z,long-run-topic-06,136,132,132
2026-01-17T00:25:47.5558020Z,long-run-topic-05,70,67,67
2026-01-17T00:25:47.5558020Z,long-run-topic-09,71,67,67
2026-01-17T00:25:47.5558020Z,long-run-topic-08,6,2,2
2026-01-17T00:25:47.5558020Z,long-run-topic-07,70,67,67
2026-01-17T00:25:47.5558020Z,long-run-topic-10,4,2,2
2026-01-17T00:25:47.5558020Z,long-run-topic-01,70,67,67
2026-01-17T00:25:47.5558020Z,long-run-topic-04,5,2,2
2026-01-17T00:25:47.5558020Z,long-run-topic-03,5,2,2
2026-01-17T00:25:47.5558020Z,long-run-topic-02,70,67,67
2026-01-17T00:25:48.6086134Z,long-run-topic-06,334,198,198
2026-01-17T00:25:48.6086134Z,long-run-topic-05,205,135,135
2026-01-17T00:25:48.6086134Z,long-run-topic-09,335,264,264
2026-01-17T00:25:48.6086134Z,long-run-topic-08,206,200,200
2026-01-17T00:25:48.6086134Z,long-run-topic-07,204,134,134
2026-01-17T00:25:48.6086134Z,long-run-topic-10,203,199,199
2026-01-17T00:25:48.6086134Z,long-run-topic-01,140,70,70
2026-01-17T00:25:48.6086134Z,long-run-topic-04,270,265,265
2026-01-17T00:25:48.6086134Z,long-run-topic-03,205,200,200
2026-01-17T00:25:48.6086134Z,long-run-topic-02,270,200,200
2026-01-17T00:25:49.6255784Z,long-run-topic-06,733,399,399
2026-01-17T00:25:49.6255784Z,long-run-topic-05,800,595,595
2026-01-17T00:25:49.6255784Z,long-run-topic-09,802,467,467
2026-01-17T00:25:49.6255784Z,long-run-topic-08,672,466,466
2026-01-17T00:25:49.6255784Z,long-run-topic-07,604,400,400
2026-01-17T00:25:49.6255784Z,long-run-topic-10,732,529,529
2026-01-17T00:25:49.6255784Z,long-run-topic-01,735,595,595
2026-01-17T00:25:49.6255784Z,long-run-topic-04,669,399,399
2026-01-17T00:25:49.6255784Z,long-run-topic-03,737,532,532
2026-01-17T00:25:49.6255784Z,long-run-topic-02,799,529,529
2026-01-17T00:25:50.6351724Z,long-run-topic-06,1897,1164,1164
2026-01-17T00:25:50.6351724Z,long-run-topic-05,1965,1165,1165
2026-01-17T00:25:50.6351724Z,long-run-topic-09,1836,1034,1034
2026-01-17T00:25:50.6351724Z,long-run-topic-08,1773,1101,1101
2026-01-17T00:25:50.6351724Z,long-run-topic-07,1772,1168,1168
2026-01-17T00:25:50.6351724Z,long-run-topic-10,1897,1165,1165
2026-01-17T00:25:50.6351724Z,long-run-topic-01,1711,976,976
2026-01-17T00:25:50.6351724Z,long-run-topic-04,1961,1292,1292
2026-01-17T00:25:50.6351724Z,long-run-topic-03,1836,1099,1099
2026-01-17T00:25:50.6351724Z,long-run-topic-02,2026,1227,1227
2026-01-17T00:25:51.6406029Z,long-run-topic-06,1961,64,64
2026-01-17T00:25:51.6406029Z,long-run-topic-05,1965,0,0
2026-01-17T00:25:51.6406029Z,long-run-topic-09,1900,64,64
2026-01-17T00:25:51.6406029Z,long-run-topic-08,1837,64,64
2026-01-17T00:25:51.6406029Z,long-run-topic-07,1772,0,0
2026-01-17T00:25:51.6406029Z,long-run-topic-10,1897,0,0
2026-01-17T00:25:51.6406029Z,long-run-topic-01,1711,0,0
2026-01-17T00:25:51.6406029Z,long-run-topic-04,1961,0,0
2026-01-17T00:25:51.6406029Z,long-run-topic-03,1836,0,0
2026-01-17T00:25:51.6406029Z,long-run-topic-02,2026,0,0
2026-01-17T00:25:52.6593450Z,long-run-topic-06,1961,0,0
2026-01-17T00:25:52.6593450Z,long-run-topic-05,1965,0,0
2026-01-17T00:25:52.6593450Z,long-run-topic-09,1900,0,0
2026-01-17T00:25:52.6593450Z,long-run-topic-08,1837,0,0
2026-01-17T00:25:52.6593450Z,long-run-topic-07,1836,64,64
2026-01-17T00:25:52.6593450Z,long-run-topic-10,1897,0,0
2026-01-17T00:25:52.6593450Z,long-run-topic-01,1711,0,0
2026-01-17T00:25:52.6593450Z,long-run-topic-04,2025,64,64
2026-01-17T00:25:52.6593450Z,long-run-topic-03,1837,1,1
2026-01-17T00:25:52.6593450Z,long-run-topic-02,2027,1,1
2026-01-17T00:25:53.6660131Z,long-run-topic-06,1961,0,0
2026-01-17T00:25:53.6660131Z,long-run-topic-05,1965,0,0
2026-01-17T00:25:53.6660131Z,long-run-topic-09,1964,64,64
2026-01-17T00:25:53.6660131Z,long-run-topic-08,1837,0,0
2026-01-17T00:25:53.6660131Z,long-run-topic-07,1836,0,0
2026-01-17T00:25:53.6660131Z,long-run-topic-10,1961,64,64
2026-01-17T00:25:53.6660131Z,long-run-topic-01,1711,0,0
2026-01-17T00:25:53.6660131Z,long-run-topic-04,2025,0,0
2026-01-17T00:25:53.6660131Z,long-run-topic-03,1837,0,0
2026-01-17T00:25:53.6660131Z,long-run-topic-02,2027,0,0
2026-01-17T00:25:55.1400856Z,long-run-topic-06,2025,64,64
2026-01-17T00:25:55.1400856Z,long-run-topic-05,2022,57,57
2026-01-17T00:25:55.1400856Z,long-run-topic-09,1964,0,0
2026-01-17T00:25:55.1400856Z,long-run-topic-08,1901,64,64
2026-01-17T00:25:55.1400856Z,long-run-topic-07,1900,64,64
2026-01-17T00:25:55.1400856Z,long-run-topic-10,1961,0,0
2026-01-17T00:25:55.1400856Z,long-run-topic-01,1775,64,64
2026-01-17T00:25:55.1400856Z,long-run-topic-04,2025,0,0
2026-01-17T00:25:55.1400856Z,long-run-topic-03,1838,1,1
2026-01-17T00:25:55.1400856Z,long-run-topic-02,2028,1,1
2026-01-17T00:25:56.1834073Z,long-run-topic-06,2026,1,1
2026-01-17T00:25:56.1834073Z,long-run-topic-05,2050,28,28
2026-01-17T00:25:56.1834073Z,long-run-topic-09,2028,64,64
2026-01-17T00:25:56.1834073Z,long-run-topic-08,1965,64,64
2026-01-17T00:25:56.1834073Z,long-run-topic-07,1900,0,0
2026-01-17T00:25:56.1834073Z,long-run-topic-10,2025,64,64
2026-01-17T00:25:56.1834073Z,long-run-topic-01,1839,64,64
2026-01-17T00:25:56.1834073Z,long-run-topic-04,2026,1,1
2026-01-17T00:25:56.1834073Z,long-run-topic-03,1838,0,0
2026-01-17T00:25:56.1834073Z,long-run-topic-02,2028,0,0
2026-01-17T00:25:57.2169919Z,long-run-topic-06,2155,129,129
2026-01-17T00:25:57.2169919Z,long-run-topic-05,2052,2,2
2026-01-17T00:25:57.2169919Z,long-run-topic-09,2030,2,2
2026-01-17T00:25:57.2169919Z,long-run-topic-08,2030,65,65
2026-01-17T00:25:57.2169919Z,long-run-topic-07,2028,128,128
