test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
nbomber_default_test_suite_name,E2E_MultiTopic,pub_long-run-topic-01,01:04:09,global information,1925000,1925000,0,500.13,0.04,1.77,593643.88,0.55,1.05,2.77,4.93,741.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,E2E_MultiTopic,sub_long-run-topic-01,01:04:09,global information,3741,3741,0,0.97,983,1625.01,600000,1005.57,1013.76,1072.13,1261.57,18375.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,E2E_MultiTopic,pub_long-run-topic-02,01:04:09,global information,1925000,1925000,0,500.13,0.04,2.68,600000,0.54,1,2.69,4.71,1059.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,E2E_MultiTopic,sub_long-run-topic-02,01:04:09,global information,3729,3729,0,0.97,111.21,1630.52,600000,1007.1,1017.34,1072.13,1375.23,18408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,E2E_MultiTopic,pub_long-run-topic-03,01:04:09,global information,1925000,1925000,0,500.13,0.04,1.75,600000,0.54,1,2.7,4.75,749.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,E2E_MultiTopic,sub_long-run-topic-03,01:04:09,global information,3726,3726,0,0.97,997.8,1631.15,600000,1006.08,1015.3,1078.27,1282.05,18420.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,E2E_MultiTopic,pub_long-run-topic-04,01:04:09,global information,1925000,1925000,0,500.13,0.04,2.05,600000,0.54,1,2.67,4.7,864.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,E2E_MultiTopic,sub_long-run-topic-04,01:04:09,global information,3721,3721,0,0.97,374.98,1633.32,600000,1007.1,1016.32,1077.25,1350.66,18424.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,E2E_MultiTopic,pub_long-run-topic-05,01:04:09,global information,1925000,1925000,0,500.13,0.04,0.81,378.04,0.54,1,2.69,4.74,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,E2E_MultiTopic,sub_long-run-topic-05,01:04:09,global information,3724,3724,0,0.97,906.97,1632.91,600000,1006.59,1016.83,1073.15,1370.11,18420.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,E2E_MultiTopic,pub_long-run-topic-06,01:04:09,global information,1925000,1925000,0,500.13,0.04,1.43,600000,0.54,1.01,2.69,4.74,611.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,E2E_MultiTopic,sub_long-run-topic-06,01:04:09,global information,3733,3733,0,0.97,907.55,1628.63,600000,1006.08,1014.78,1074.18,1319.94,18393.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,E2E_MultiTopic,pub_long-run-topic-07,01:04:09,global information,1925000,1925000,0,500.13,0.04,2.67,600000,0.54,1.01,2.69,4.74,1051.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,E2E_MultiTopic,sub_long-run-topic-07,01:04:09,global information,3717,3717,0,0.97,30.16,1635.79,600000,1007.1,1018.37,1077.25,1374.21,18434.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,E2E_MultiTopic,pub_long-run-topic-08,01:04:09,global information,1925000,1925000,0,500.13,0.04,0.82,378.37,0.54,1.02,2.71,4.79,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,E2E_MultiTopic,sub_long-run-topic-08,01:04:09,global information,3726,3726,0,0.97,30.62,1631.75,600000,1006.59,1015.3,1076.22,1347.58,18415.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,E2E_MultiTopic,pub_long-run-topic-09,01:04:09,global information,1925000,1925000,0,500.13,0.04,0.82,390.37,0.54,1.03,2.72,4.76,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,E2E_MultiTopic,sub_long-run-topic-09,01:04:09,global information,3732,3732,0,0.97,197.22,1629.24,600000,1007.1,1016.83,1073.15,1340.42,18400.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,E2E_MultiTopic,pub_long-run-topic-10,01:04:09,global information,1925000,1925000,0,500.13,0.03,1.36,593639.2,0.55,1.03,2.74,4.82,532.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,E2E_MultiTopic,sub_long-run-topic-10,01:04:09,global information,3725,3725,0,0.97,914.77,1632.05,600000,1006.59,1015.3,1073.15,1278.97,18425.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
