Row Labels;Sum of msgs_per_sec;;
2026-01-17T15:51:19.7363872Z;0;;0
2026-01-17T15:51:20.7447748Z;0;;0
2026-01-17T15:51:22.1759037Z;814;;814
2026-01-17T15:51:23.4487244Z;1800;;1800
2026-01-17T15:51:25.0674851Z;2313;;2313
2026-01-17T15:51:26.0755166Z;477;;477
2026-01-17T15:51:27.0747254Z;574;;574
2026-01-17T15:51:28.0871852Z;264;;264
2026-01-17T15:51:29.0948920Z;414;;414
2026-01-17T15:51:30.0988895Z;444;;444
2026-01-17T15:51:31.1015716Z;318;;318
2026-01-17T15:51:32.1202523Z;198;;198
2026-01-17T15:51:33.1293991Z;1001;;1001
2026-01-17T15:51:34.1335362Z;807;;807
2026-01-17T15:51:35.1398852Z;808;;808
2026-01-17T15:51:36.7366899Z;801;;801
2026-01-17T15:51:37.7387059Z;256;;256
2026-01-17T15:51:38.7387707Z;239;;239
2026-01-17T15:51:41.6051526Z;778;;778
2026-01-17T15:51:42.6140597Z;223;;223
2026-01-17T15:51:43.6185758Z;275;;275
2026-01-17T15:51:44.6315303Z;129;;129
2026-01-17T15:51:45.6321650Z;193;;193
2026-01-17T15:51:48.8474763Z;556;;556
2026-01-17T15:51:49.8485385Z;257;;257
2026-01-17T15:51:50.8486334Z;0;;0
2026-01-17T15:51:51.8570612Z;192;;192
2026-01-17T15:51:56.3756951Z;684;;684
2026-01-17T15:51:59.1142597Z;562;;562
2026-01-17T15:52:00.1172247Z;283;;283
2026-01-17T15:52:01.1198256Z;256;;256
2026-01-17T15:52:02.1285470Z;272;;272
2026-01-17T15:52:03.1343590Z;262;;262
2026-01-17T15:52:04.1357194Z;202;;202
2026-01-17T15:52:05.1347307Z;128;;128
2026-01-17T15:52:06.1369033Z;219;;219
2026-01-17T15:52:07.1401302Z;119;;119
2026-01-17T15:52:08.1550682Z;336;;336
2026-01-17T15:52:09.1615063Z;192;;192
2026-01-17T15:52:10.1675726Z;0;;0
2026-01-17T15:52:11.1804998Z;138;;138
2026-01-17T15:52:12.1816774Z;256;;256
2026-01-17T15:52:13.1870438Z;49;;49
2026-01-17T15:52:18.0272057Z;428;;428
2026-01-17T15:52:19.0316083Z;220;;220
2026-01-17T15:52:20.0331336Z;143;;143
2026-01-17T15:52:23.0333221Z;643;;643
2026-01-17T15:52:24.0399748Z;345;;345
2026-01-17T15:52:26.0771787Z;727;;727
2026-01-17T15:52:27.6324055Z;768;;768
2026-01-17T15:52:28.8786461Z;1390;;1390
2026-01-17T15:52:30.1338709Z;1228;;1228
2026-01-17T15:52:31.2152493Z;2032;;2032
2026-01-17T15:52:32.2472404Z;3808;;3808
2026-01-17T15:52:33.3047152Z;4663;;4663
2026-01-17T15:52:34.3653955Z;5274;;5274
2026-01-17T15:52:35.4518444Z;5084;;5084
2026-01-17T15:52:36.5474440Z;6185;;6185
2026-01-17T15:52:37.5480361Z;4522;;4522
2026-01-17T15:52:38.6463123Z;4947;;4947
2026-01-17T15:52:39.6515348Z;5003;;5003
2026-01-17T15:52:40.8019214Z;4413;;4413
2026-01-17T15:52:41.9751447Z;4580;;4580
2026-01-17T15:52:43.0760288Z;4411;;4411
2026-01-17T15:52:44.0941133Z;5390;;5390
2026-01-17T15:52:45.0965727Z;5660;;5660
2026-01-17T15:52:46.1167233Z;5450;;5450
2026-01-17T15:52:47.1254512Z;5317;;5317
2026-01-17T15:52:48.1437240Z;5653;;5653
2026-01-17T15:52:49.1503975Z;5209;;5209
2026-01-17T15:52:50.1555645Z;5116;;5116
2026-01-17T15:52:51.1580122Z;5758;;5758
2026-01-17T15:52:52.1651039Z;5564;;5564
2026-01-17T15:52:53.1697539Z;6930;;6930
2026-01-17T15:52:54.1703340Z;6424;;6424
2026-01-17T15:52:55.1761834Z;5659;;5659
2026-01-17T15:52:56.1782979Z;5227;;5227
2026-01-17T15:52:57.1829473Z;5266;;5266
2026-01-17T15:52:58.2024874Z;5676;;5676
2026-01-17T15:52:59.2243392Z;6444;;6444
2026-01-17T15:53:00.2647714Z;7168;;7168
2026-01-17T15:53:01.3330758Z;7045;;7045
2026-01-17T15:53:02.4199066Z;5960;;5960
2026-01-17T15:53:03.4335828Z;5964;;5964
2026-01-17T15:53:04.5271063Z;6150;;6150
2026-01-17T15:53:05.5272805Z;6071;;6071
2026-01-17T15:53:06.6431137Z;6024;;6024
2026-01-17T15:53:07.7802538Z;6313;;6313
2026-01-17T15:53:08.7756701Z;5750;;5750
2026-01-17T15:53:09.8746438Z;5760;;5760
2026-01-17T15:53:11.0334428Z;5920;;5920
2026-01-17T15:53:12.0346915Z;6226;;6226
2026-01-17T15:53:13.0388608Z;5878;;5878
2026-01-17T15:53:14.0399038Z;5150;;5150
2026-01-17T15:53:15.0469296Z;4845;;4845
2026-01-17T15:53:16.0550883Z;6182;;6182
2026-01-17T15:53:17.0609940Z;7258;;7258
2026-01-17T15:53:18.0797833Z;7957;;7957
2026-01-17T15:53:19.0998175Z;7323;;7323
2026-01-17T15:53:20.1084144Z;7100;;7100
2026-01-17T15:53:21.1199763Z;7068;;7068
2026-01-17T15:53:22.1340240Z;5936;;5936
2026-01-17T15:53:23.1366953Z;5394;;5394
2026-01-17T15:53:24.1457864Z;5307;;5307
2026-01-17T15:53:25.1541403Z;6406;;6406
2026-01-17T15:53:26.1671823Z;5886;;5886
2026-01-17T15:53:27.1726247Z;4840;;4840
2026-01-17T15:53:28.1748570Z;6115;;6115
2026-01-17T15:53:29.1797598Z;5088;;5088
2026-01-17T15:53:30.1890056Z;4649;;4649
2026-01-17T15:53:31.2041935Z;4742;;4742
2026-01-17T15:53:32.2427519Z;4617;;4617
2026-01-17T15:53:33.2850479Z;4531;;4531
2026-01-17T15:53:34.3436829Z;4883;;4883
2026-01-17T15:53:35.3568904Z;4735;;4735
2026-01-17T15:53:36.4451838Z;4919;;4919
2026-01-17T15:53:37.5410643Z;4793;;4793
2026-01-17T15:53:38.6345106Z;3886;;3886
2026-01-17T15:53:39.7047194Z;4570;;4570
2026-01-17T15:53:40.7150650Z;4546;;4546
2026-01-17T15:53:41.8440044Z;4426;;4426
2026-01-17T15:53:42.9770809Z;4467;;4467
2026-01-17T15:53:43.9899540Z;5094;;5094
2026-01-17T15:53:45.0406709Z;4977;;4977
2026-01-17T15:53:46.0497438Z;4769;;4769
2026-01-17T15:53:47.0831296Z;4852;;4852
2026-01-17T15:53:48.1041380Z;4170;;4170
2026-01-17T15:53:49.1045874Z;4867;;4867
2026-01-17T15:53:50.1262047Z;4676;;4676
2026-01-17T15:53:51.1501722Z;4323;;4323
2026-01-17T15:53:52.1701454Z;4964;;4964
2026-01-17T15:53:53.1855429Z;4191;;4191
2026-01-17T15:53:54.1863194Z;4651;;4651
2026-01-17T15:53:55.1889471Z;4998;;4998
2026-01-17T15:53:56.1905126Z;3812;;3812
2026-01-17T15:53:57.1970483Z;4876;;4876
2026-01-17T15:53:58.2446146Z;4353;;4353
2026-01-17T15:53:59.3174789Z;2892;;2892
2026-01-17T15:54:00.3188396Z;5122;;5122
2026-01-17T15:54:01.3775025Z;5794;;5794
2026-01-17T15:54:02.4661147Z;4560;;4560
2026-01-17T15:54:03.5869383Z;4684;;4684
2026-01-17T15:54:04.6882198Z;4906;;4906
2026-01-17T15:54:05.6910134Z;4405;;4405
2026-01-17T15:54:06.8425359Z;4761;;4761
2026-01-17T15:54:07.8435395Z;3812;;3812
2026-01-17T15:54:08.9938510Z;4809;;4809
2026-01-17T15:54:09.9932024Z;4471;;4471
2026-01-17T15:54:10.9931659Z;4728;;4728
2026-01-17T15:54:12.0754781Z;4367;;4367
2026-01-17T15:54:13.0787514Z;3923;;3923
2026-01-17T15:54:14.1134309Z;4290;;4290
2026-01-17T15:54:15.1172470Z;4418;;4418
2026-01-17T15:54:16.1340854Z;4830;;4830
2026-01-17T15:54:17.1486978Z;5107;;5107
2026-01-17T15:54:18.1601423Z;4025;;4025
2026-01-17T15:54:19.1626287Z;3906;;3906
2026-01-17T15:54:20.1733554Z;4947;;4947
2026-01-17T15:54:21.1736540Z;4382;;4382
2026-01-17T15:54:22.1858244Z;4050;;4050
2026-01-17T15:54:23.1878320Z;4360;;4360
2026-01-17T15:54:24.1879818Z;4236;;4236
2026-01-17T15:54:25.1978565Z;4783;;4783
2026-01-17T15:54:26.2227818Z;5040;;5040
2026-01-17T15:54:27.2622803Z;5566;;5566
2026-01-17T15:54:28.2988976Z;4784;;4784
2026-01-17T15:54:29.3588440Z;4793;;4793
2026-01-17T15:54:30.4391749Z;6940;;6940
2026-01-17T15:54:31.4410187Z;4660;;4660
2026-01-17T15:54:32.5609354Z;3962;;3962
2026-01-17T15:54:33.6806358Z;4768;;4768
2026-01-17T15:54:34.6881248Z;4729;;4729
2026-01-17T15:54:35.6882314Z;3887;;3887
2026-01-17T15:54:36.6986414Z;8062;;8062
2026-01-17T15:54:37.7028683Z;12217;;12217
2026-01-17T15:54:38.7030447Z;13382;;13382
2026-01-17T15:54:39.7439246Z;12532;;12532
2026-01-17T15:54:40.7506145Z;12660;;12660
2026-01-17T15:54:41.7504984Z;13302;;13302
2026-01-17T15:54:42.7874290Z;13338;;13338
2026-01-17T15:54:43.8172689Z;13332;;13332
2026-01-17T15:54:44.8555092Z;13467;;13467
2026-01-17T15:54:45.8657786Z;12930;;12930
2026-01-17T15:54:46.8883102Z;13861;;13861
2026-01-17T15:54:47.9207574Z;13900;;13900
2026-01-17T15:54:48.9231682Z;13260;;13260
2026-01-17T15:54:49.9269714Z;12651;;12651
2026-01-17T15:54:50.9405899Z;12382;;12382
2026-01-17T15:54:51.9433743Z;12384;;12384
2026-01-17T15:54:52.9539606Z;13895;;13895
2026-01-17T15:54:53.9567175Z;13323;;13323
2026-01-17T15:54:54.9612094Z;13438;;13438
2026-01-17T15:54:55.9625840Z;12142;;12142
2026-01-17T15:54:56.9630499Z;13108;;13108
2026-01-17T15:54:57.9672551Z;13302;;13302
2026-01-17T15:54:58.9718621Z;13133;;13133
2026-01-17T15:54:59.9734986Z;11230;;11230
2026-01-17T15:55:00.9853558Z;13699;;13699
2026-01-17T15:55:01.9881390Z;11275;;11275
2026-01-17T15:55:02.9924368Z;10013;;10013
2026-01-17T15:55:03.9944893Z;9112;;9112
2026-01-17T15:55:04.9952907Z;8748;;8748
2026-01-17T15:55:05.9969042Z;8922;;8922
2026-01-17T15:55:06.9978097Z;8851;;8851
2026-01-17T15:55:08.0012443Z;9051;;9051
2026-01-17T15:55:09.0106264Z;9599;;9599
2026-01-17T15:55:10.0128629Z;9642;;9642
2026-01-17T15:55:11.0249871Z;9267;;9267
2026-01-17T15:55:12.0356735Z;8869;;8869
2026-01-17T15:55:13.0430480Z;8973;;8973
2026-01-17T15:55:14.0464583Z;9924;;9924
2026-01-17T15:55:15.0493180Z;8988;;8988
2026-01-17T15:55:16.0510973Z;8622;;8622
2026-01-17T15:55:17.0591875Z;8616;;8616
2026-01-17T15:55:18.0651230Z;8609;;8609
2026-01-17T15:55:19.0719921Z;8366;;8366
2026-01-17T15:55:20.0720222Z;8194;;8194
2026-01-17T15:55:21.0838110Z;8320;;8320
2026-01-17T15:55:22.0874857Z;8630;;8630
2026-01-17T15:55:23.0930035Z;8774;;8774
2026-01-17T15:55:24.0970389Z;7044;;7044
2026-01-17T15:55:25.0969251Z;7706;;7706
2026-01-17T15:55:26.0970281Z;8060;;8060
2026-01-17T15:55:27.1041007Z;8680;;8680
2026-01-17T15:55:28.1105007Z;7898;;7898
2026-01-17T15:55:29.1129818Z;7577;;7577
2026-01-17T15:55:30.1178822Z;7914;;7914
2026-01-17T15:55:31.1335293Z;8403;;8403
2026-01-17T15:55:32.1422729Z;8023;;8023
2026-01-17T15:55:33.1522045Z;8746;;8746
2026-01-17T15:55:34.1529019Z;8397;;8397
2026-01-17T15:55:35.1614855Z;8375;;8375
2026-01-17T15:55:36.1676599Z;8030;;8030
2026-01-17T15:55:37.1677006Z;6860;;6860
2026-01-17T15:55:38.1671041Z;5589;;5589
2026-01-17T15:55:39.1673417Z;5049;;5049
2026-01-17T15:55:40.1814954Z;4989;;4989
2026-01-17T15:55:41.1814521Z;5000;;5000
2026-01-17T15:55:42.1892176Z;4969;;4969
2026-01-17T15:55:43.1916306Z;4973;;4973
2026-01-17T15:55:44.2155788Z;5097;;5097
2026-01-17T15:55:45.2524195Z;4984;;4984
2026-01-17T15:55:46.2830994Z;5055;;5055
2026-01-17T15:55:47.3200629Z;5035;;5035
2026-01-17T15:55:48.3521642Z;5220;;5220
2026-01-17T15:55:49.3781158Z;5135;;5135
2026-01-17T15:55:50.4060269Z;5060;;5060
2026-01-17T15:55:51.4083746Z;5070;;5070
2026-01-17T15:55:52.4177183Z;4929;;4929
2026-01-17T15:55:53.4328414Z;5066;;5066
2026-01-17T15:55:54.4330113Z;5128;;5128
2026-01-17T15:55:55.4672951Z;5080;;5080
2026-01-17T15:55:56.5058532Z;5042;;5042
2026-01-17T15:55:57.5071826Z;4793;;4793
2026-01-17T15:55:58.5209455Z;5528;;5528
2026-01-17T15:55:59.5575861Z;4833;;4833
2026-01-17T15:56:00.5871206Z;5382;;5382
2026-01-17T15:56:01.6397388Z;5036;;5036
2026-01-17T15:56:02.6429076Z;5109;;5109
2026-01-17T15:56:03.6804551Z;5041;;5041
2026-01-17T15:56:04.7113221Z;5030;;5030
2026-01-17T15:56:05.7110576Z;5274;;5274
2026-01-17T15:56:06.7331676Z;5339;;5339
2026-01-17T15:56:07.7705161Z;5137;;5137
2026-01-17T15:56:08.7970500Z;4742;;4742
2026-01-17T15:56:09.8265681Z;5281;;5281
2026-01-17T15:56:10.8376073Z;4870;;4870
2026-01-17T15:56:11.8466159Z;4915;;4915
2026-01-17T15:56:12.8480905Z;5402;;5402
2026-01-17T15:56:13.8515868Z;5089;;5089
2026-01-17T15:56:14.8535746Z;5010;;5010
2026-01-17T15:56:15.8936749Z;4990;;4990
2026-01-17T15:56:16.8971606Z;5102;;5102
2026-01-17T15:56:17.9221977Z;5004;;5004
2026-01-17T15:56:18.9228897Z;5226;;5226
2026-01-17T15:56:19.9317388Z;5068;;5068
2026-01-17T15:56:20.9421254Z;4788;;4788
2026-01-17T15:56:21.9429047Z;4715;;4715
2026-01-17T15:56:22.9518129Z;5189;;5189
2026-01-17T15:56:23.9510418Z;5204;;5204
2026-01-17T15:56:24.9515724Z;5414;;5414
2026-01-17T15:56:25.9570410Z;4296;;4296
2026-01-17T15:56:26.9670145Z;5621;;5621
2026-01-17T15:56:27.9736780Z;5001;;5001
2026-01-17T15:56:28.9850071Z;5602;;5602
2026-01-17T15:56:29.9865803Z;5275;;5275
2026-01-17T15:56:30.9956885Z;4590;;4590
2026-01-17T15:56:32.0026429Z;5449;;5449
2026-01-17T15:56:33.0076489Z;4646;;4646
2026-01-17T15:56:34.0091775Z;5152;;5152
2026-01-17T15:56:35.0111440Z;5224;;5224
2026-01-17T15:56:36.0154003Z;5233;;5233
2026-01-17T15:56:37.0178579Z;4745;;4745
2026-01-17T15:56:38.0286086Z;5750;;5750
2026-01-17T15:56:39.0286436Z;5048;;5048
2026-01-17T15:56:40.0285726Z;4755;;4755
2026-01-17T15:56:41.0314978Z;4887;;4887
2026-01-17T15:56:42.0370441Z;5225;;5225
2026-01-17T15:56:43.0437382Z;4972;;4972
2026-01-17T15:56:44.0563044Z;5189;;5189
2026-01-17T15:56:45.0563452Z;5004;;5004
2026-01-17T15:56:46.0590324Z;4818;;4818
2026-01-17T15:56:47.0647115Z;5187;;5187
2026-01-17T15:56:48.0648175Z;4938;;4938
2026-01-17T15:56:49.0649367Z;5052;;5052
2026-01-17T15:56:50.0718254Z;4978;;4978
2026-01-17T15:56:51.0731800Z;4896;;4896
2026-01-17T15:56:52.0809809Z;5141;;5141
2026-01-17T15:56:53.0811915Z;5011;;5011
2026-01-17T15:56:54.0826963Z;4991;;4991
2026-01-17T15:56:55.0826596Z;4954;;4954
2026-01-17T15:56:56.0896058Z;4983;;4983
2026-01-17T15:56:57.0895909Z;5049;;5049
2026-01-17T15:56:58.0929012Z;4962;;4962
2026-01-17T15:56:59.0973384Z;5023;;5023
2026-01-17T15:57:00.0979048Z;5045;;5045
2026-01-17T15:57:01.1074121Z;4942;;4942
2026-01-17T15:57:02.1071094Z;5006;;5006
2026-01-17T15:57:03.1140676Z;4997;;4997
2026-01-17T15:57:04.1147010Z;5066;;5066
2026-01-17T15:57:05.1150367Z;4881;;4881
2026-01-17T15:57:06.1213254Z;5090;;5090
2026-01-17T15:57:07.1244715Z;4986;;4986
2026-01-17T15:57:08.1263853Z;4998;;4998
2026-01-17T15:57:09.1307877Z;4955;;4955
2026-01-17T15:57:10.1301549Z;5015;;5015
2026-01-17T15:57:11.1316051Z;4977;;4977
2026-01-17T15:57:12.1321076Z;5028;;5028
2026-01-17T15:57:13.1403247Z;5060;;5060
2026-01-17T15:57:14.1462898Z;4956;;4956
2026-01-17T15:57:15.1573465Z;5041;;5041
2026-01-17T15:57:16.1645169Z;4963;;4963
2026-01-17T15:57:17.1658757Z;4975;;4975
2026-01-17T15:57:18.1671299Z;5028;;5028
2026-01-17T15:57:19.1804776Z;4994;;4994
2026-01-17T15:57:20.1805008Z;4985;;4985
