ts_utc;topic;received_total;received_delta;msgs_per_sec
2026-01-16T18:05:28.7678978Z;long-run-topic-01;0;0;0
2026-01-16T18:05:29.7695708Z;long-run-topic-01;2857;2857;2857
2026-01-16T18:05:30.7704086Z;long-run-topic-01;6665;3808;3808
2026-01-16T18:05:31.7745257Z;long-run-topic-01;11799;5134;5134
2026-01-16T18:05:32.7769035Z;long-run-topic-01;21985;10186;10186
2026-01-16T18:05:33.7791045Z;long-run-topic-01;28102;6117;6117
2026-01-16T18:05:34.7927643Z;long-run-topic-01;33039;4937;4937
2026-01-16T18:05:35.8028849Z;long-run-topic-01;38163;5124;5124
2026-01-16T18:05:36.8026519Z;long-run-topic-01;42357;4194;4194
2026-01-16T18:05:37.8140797Z;long-run-topic-01;48164;5807;5807
2026-01-16T18:05:38.8149354Z;long-run-topic-01;53349;5185;5185
2026-01-16T18:05:39.8208066Z;long-run-topic-01;57543;4194;4194
2026-01-16T18:05:40.8289897Z;long-run-topic-01;62729;5186;5186
2026-01-16T18:05:41.8429459Z;long-run-topic-01;65746;3017;3017
2026-01-16T18:05:42.8435432Z;long-run-topic-01;72977;7231;7231
2026-01-16T18:05:43.8445042Z;long-run-topic-01;77605;4628;4628
2026-01-16T18:05:44.8577191Z;long-run-topic-01;83101;5496;5496
2026-01-16T18:05:45.8661386Z;long-run-topic-01;88039;4938;4938
2026-01-16T18:05:46.8706360Z;long-run-topic-01;93287;5248;5248
2026-01-16T18:05:47.8713024Z;long-run-topic-01;98163;4876;4876
2026-01-16T18:05:48.9452834Z;long-run-topic-01;101587;3424;3424
2026-01-16T18:05:49.9537022Z;long-run-topic-01;101895;308;308
2026-01-16T18:05:50.9603821Z;long-run-topic-01;104274;2379;2379
2026-01-16T18:05:51.9638759Z;long-run-topic-01;113183;8909;8909
2026-01-16T18:05:52.9687384Z;long-run-topic-01;122075;8892;8892
2026-01-16T18:05:53.9775948Z;long-run-topic-01;125001;2926;2926
2026-01-16T18:05:54.9798696Z;long-run-topic-01;125859;858;858
2026-01-16T18:05:55.9803610Z;long-run-topic-01;126347;488;488
2026-01-16T18:05:56.9913590Z;long-run-topic-01;130680;4333;4333
2026-01-16T18:05:57.9905993Z;long-run-topic-01;138551;7871;7871
2026-01-16T18:05:58.9924519Z;long-run-topic-01;146343;7792;7792
2026-01-16T18:06:00.0009515Z;long-run-topic-01;152441;6098;6098
2026-01-16T18:06:01.0078965Z;long-run-topic-01;155672;3231;3231
2026-01-16T18:06:02.0226518Z;long-run-topic-01;162262;6590;6590
2026-01-16T18:06:03.0525408Z;long-run-topic-01;166221;3959;3959
2026-01-16T18:06:04.0525996Z;long-run-topic-01;172321;6100;6100
2026-01-16T18:06:05.0572982Z;long-run-topic-01;181587;9266;9266
2026-01-16T18:06:06.0626192Z;long-run-topic-01;184942;3355;3355
2026-01-16T18:06:07.0765888Z;long-run-topic-01;185676;734;734
2026-01-16T18:06:08.0776745Z;long-run-topic-01;194826;9150;9150
2026-01-16T18:06:09.0789454Z;long-run-topic-01;204698;9872;9872
2026-01-16T18:06:10.0879378Z;long-run-topic-01;209820;5122;5122
2026-01-16T18:06:11.0943514Z;long-run-topic-01;214637;4817;4817
2026-01-16T18:06:12.1082968Z;long-run-topic-01;219820;5183;5183
2026-01-16T18:06:13.1115569Z;long-run-topic-01;224881;5061;5061
2026-01-16T18:06:14.1122082Z;long-run-topic-01;229942;5061;5061
2026-01-16T18:06:15.1206324Z;long-run-topic-01;234942;5000;5000
2026-01-16T18:06:16.1205464Z;long-run-topic-01;239942;5000;5000
2026-01-16T18:06:17.1212944Z;long-run-topic-01;244942;5000;5000
2026-01-16T18:06:18.1290570Z;long-run-topic-01;249942;5000;5000
2026-01-16T18:06:19.1294117Z;long-run-topic-01;254942;5000;5000
2026-01-16T18:06:20.1332771Z;long-run-topic-01;259942;5000;5000
2026-01-16T18:06:21.1374837Z;long-run-topic-01;264942;5000;5000
2026-01-16T18:06:22.1449103Z;long-run-topic-01;269942;5000;5000
2026-01-16T18:06:23.1534631Z;long-run-topic-01;274942;5000;5000
2026-01-16T18:06:24.1617931Z;long-run-topic-01;279942;5000;5000
2026-01-16T18:06:25.1625445Z;long-run-topic-01;284942;5000;5000
2026-01-16T18:06:26.1711269Z;long-run-topic-01;289942;5000;5000
2026-01-16T18:06:27.1790296Z;long-run-topic-01;294942;5000;5000
2026-01-16T18:06:28.1795213Z;long-run-topic-01;299942;5000;5000
2026-01-16T18:06:29.1789971Z;long-run-topic-01;304942;5000;5000
2026-01-16T18:06:30.1795503Z;long-run-topic-01;309942;5000;5000
2026-01-16T18:06:31.1788692Z;long-run-topic-01;314942;5000;5000
2026-01-16T18:06:32.1796172Z;long-run-topic-01;319942;5000;5000
2026-01-16T18:06:33.1794544Z;long-run-topic-01;324942;5000;5000
2026-01-16T18:06:34.1797246Z;long-run-topic-01;329942;5000;5000
2026-01-16T18:06:35.1941085Z;long-run-topic-01;334942;5000;5000
2026-01-16T18:06:36.2023784Z;long-run-topic-01;339942;5000;5000
2026-01-16T18:06:37.2038276Z;long-run-topic-01;344942;5000;5000
2026-01-16T18:06:38.2038723Z;long-run-topic-01;349942;5000;5000
2026-01-16T18:06:39.2106026Z;long-run-topic-01;354942;5000;5000
2026-01-16T18:06:40.2133345Z;long-run-topic-01;359942;5000;5000
2026-01-16T18:06:41.2194861Z;long-run-topic-01;364942;5000;5000
2026-01-16T18:06:42.2211809Z;long-run-topic-01;369942;5000;5000
2026-01-16T18:06:43.2212952Z;long-run-topic-01;374942;5000;5000
2026-01-16T18:06:44.2290032Z;long-run-topic-01;379942;5000;5000
2026-01-16T18:06:45.2360385Z;long-run-topic-01;384942;5000;5000
2026-01-16T18:06:46.2453620Z;long-run-topic-01;389942;5000;5000
2026-01-16T18:06:47.2525825Z;long-run-topic-01;394942;5000;5000
2026-01-16T18:06:48.2539654Z;long-run-topic-01;399942;5000;5000
2026-01-16T18:06:49.2546016Z;long-run-topic-01;404942;5000;5000
2026-01-16T18:06:50.2546071Z;long-run-topic-01;409942;5000;5000
2026-01-16T18:06:51.2619929Z;long-run-topic-01;414942;5000;5000
2026-01-16T18:06:52.2698477Z;long-run-topic-01;419942;5000;5000
2026-01-16T18:06:53.2713026Z;long-run-topic-01;424942;5000;5000
2026-01-16T18:06:54.2714421Z;long-run-topic-01;429942;5000;5000
2026-01-16T18:06:55.2795324Z;long-run-topic-01;434942;5000;5000
2026-01-16T18:06:56.2797920Z;long-run-topic-01;439943;5001;5001
2026-01-16T18:06:57.2876859Z;long-run-topic-01;444942;4999;4999
2026-01-16T18:06:58.2957201Z;long-run-topic-01;449942;5000;5000
2026-01-16T18:06:59.3042234Z;long-run-topic-01;454942;5000;5000
2026-01-16T18:07:00.3044781Z;long-run-topic-01;459942;5000;5000
2026-01-16T18:07:01.3117728Z;long-run-topic-01;464942;5000;5000
2026-01-16T18:07:02.3188379Z;long-run-topic-01;469942;5000;5000
2026-01-16T18:07:03.3280227Z;long-run-topic-01;474942;5000;5000
2026-01-16T18:07:04.3366491Z;long-run-topic-01;479942;5000;5000
2026-01-16T18:07:05.3411470Z;long-run-topic-01;484942;5000;5000
2026-01-16T18:07:06.3464439Z;long-run-topic-01;489942;5000;5000
2026-01-16T18:07:07.3611621Z;long-run-topic-01;494942;5000;5000
2026-01-16T18:07:08.3627022Z;long-run-topic-01;499942;5000;5000
2026-01-16T18:07:09.3795325Z;long-run-topic-01;504942;5000;5000
2026-01-16T18:07:10.3789971Z;long-run-topic-01;509942;5000;5000
2026-01-16T18:07:11.3795578Z;long-run-topic-01;514942;5000;5000
2026-01-16T18:07:12.3865355Z;long-run-topic-01;519942;5000;5000
2026-01-16T18:07:13.3858325Z;long-run-topic-01;524942;5000;5000
2026-01-16T18:07:14.3882873Z;long-run-topic-01;529943;5001;5001
2026-01-16T18:07:15.3944758Z;long-run-topic-01;534942;4999;4999
2026-01-16T18:07:16.3976712Z;long-run-topic-01;539942;5000;5000
2026-01-16T18:07:17.4095083Z;long-run-topic-01;544942;5000;5000
2026-01-16T18:07:18.4170460Z;long-run-topic-01;550062;5120;5120
2026-01-16T18:07:19.4243433Z;long-run-topic-01;555001;4939;4939
2026-01-16T18:07:20.4304828Z;long-run-topic-01;559942;4941;4941
2026-01-16T18:07:21.4374581Z;long-run-topic-01;564942;5000;5000
2026-01-16T18:07:22.4402057Z;long-run-topic-01;570062;5120;5120
2026-01-16T18:07:23.4432793Z;long-run-topic-01;575245;5183;5183
2026-01-16T18:07:24.4525028Z;long-run-topic-01;580306;5061;5061
2026-01-16T18:07:25.4645074Z;long-run-topic-01;585001;4695;4695
