test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
nbomber_default_test_suite_name,Kafka_E2E_MultiTopic,pub_kafka-e2e-topic-01,00:03:35,global information,108000,108000,0,502.33,0,0.09,91.79,0.02,0.05,0.19,1.13,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,Kafka_E2E_MultiTopic,sub_kafka-e2e-topic-01,00:03:35,global information,213,213,0,0.99,895.01,6631.02,600000,1007.1,1011.2,1016.32,1036.29,57774.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,Kafka_E2E_MultiTopic,pub_kafka-e2e-topic-02,00:03:35,global information,108000,108000,0,502.33,0,0.07,62.29,0.01,0.03,0.14,0.82,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,Kafka_E2E_MultiTopic,sub_kafka-e2e-topic-02,00:03:35,global information,213,213,0,0.99,743.17,6631.49,600000,1007.62,1011.2,1015.81,1087.49,57774.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,Kafka_E2E_MultiTopic,pub_kafka-e2e-topic-03,00:03:35,global information,108000,108000,0,502.33,0,5.62,600000,0.02,0.04,0.16,0.7,1825.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,Kafka_E2E_MultiTopic,sub_kafka-e2e-topic-03,00:03:35,global information,213,213,0,0.99,744.1,6631.54,600000,1007.62,1011.71,1017.86,1132.54,57774.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,Kafka_E2E_MultiTopic,pub_kafka-e2e-topic-04,00:03:35,global information,108000,108000,0,502.33,0,0.06,111.65,0.02,0.04,0.16,0.57,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,Kafka_E2E_MultiTopic,sub_kafka-e2e-topic-04,00:03:35,global information,213,213,0,0.99,743.23,6631.52,600000,1007.1,1012.22,1020.42,1058.82,57774.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,Kafka_E2E_MultiTopic,pub_kafka-e2e-topic-05,00:03:35,global information,108000,108000,0,502.33,0,0.04,185.06,0.01,0.02,0.12,0.46,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,Kafka_E2E_MultiTopic,sub_kafka-e2e-topic-05,00:03:35,global information,213,213,0,0.99,744.23,6631.56,600000,1007.1,1011.2,1017.86,1097.73,57774.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,Kafka_E2E_MultiTopic,pub_kafka-e2e-topic-06,00:03:35,global information,108000,108000,0,502.33,0,0.07,712.76,0.02,0.04,0.16,0.58,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,Kafka_E2E_MultiTopic,sub_kafka-e2e-topic-06,00:03:35,global information,213,213,0,0.99,743.34,6631.61,600000,1007.62,1011.2,1015.3,1097.73,57774.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,Kafka_E2E_MultiTopic,pub_kafka-e2e-topic-07,00:03:35,global information,108000,108000,0,502.33,0,16.72,600000,0.02,0.04,0.15,0.56,3162.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,Kafka_E2E_MultiTopic,sub_kafka-e2e-topic-07,00:03:35,global information,213,213,0,0.99,784.91,6631.59,600000,1007.62,1011.71,1018.37,1075.2,57774.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,Kafka_E2E_MultiTopic,pub_kafka-e2e-topic-08,00:03:35,global information,108000,108000,0,502.33,0,0.04,23.61,0.01,0.03,0.12,0.47,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,Kafka_E2E_MultiTopic,sub_kafka-e2e-topic-08,00:03:35,global information,213,213,0,0.99,784.14,6631.56,600000,1007.1,1011.71,1016.83,1098.75,57774.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,Kafka_E2E_MultiTopic,pub_kafka-e2e-topic-09,00:03:35,global information,108000,108000,0,502.33,0,0.05,33.01,0.01,0.03,0.13,0.53,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,Kafka_E2E_MultiTopic,sub_kafka-e2e-topic-09,00:03:35,global information,213,213,0,0.99,784.25,6631.59,600000,1007.62,1011.71,1017.34,1062.91,57774.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,Kafka_E2E_MultiTopic,pub_kafka-e2e-topic-10,00:03:35,global information,108000,108000,0,502.33,0,0.08,880.01,0.02,0.04,0.16,0.61,3.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,Kafka_E2E_MultiTopic,sub_kafka-e2e-topic-10,00:03:35,global information,213,213,0,0.99,743.62,6631.59,600000,1008.13,1011.71,1017.34,1075.2,57774.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
