ts_utc,topic,received_total,received_delta,msgs_per_sec
2026-01-17T12:10:06.3163315Z,kafka-e2e-topic-01,0,0,0
2026-01-17T12:10:07.3225865Z,kafka-e2e-topic-01,0,0,0
2026-01-17T12:10:08.3366525Z,kafka-e2e-topic-01,0,0,0
2026-01-17T12:10:09.3411461Z,kafka-e2e-topic-01,0,0,0
2026-01-17T12:10:10.3526630Z,kafka-e2e-topic-01,0,0,0
2026-01-17T12:10:11.3654118Z,kafka-e2e-topic-01,0,0,0
2026-01-17T12:10:12.3787789Z,kafka-e2e-topic-01,2417,2417,2417
2026-01-17T12:10:13.3920549Z,kafka-e2e-topic-01,7452,5035,5035
2026-01-17T12:10:14.4060492Z,kafka-e2e-topic-01,12749,5297,5297
2026-01-17T12:10:15.4153627Z,kafka-e2e-topic-01,17709,4960,4960
2026-01-17T12:10:16.4158868Z,kafka-e2e-topic-01,22691,4982,4982
2026-01-17T12:10:17.4257805Z,kafka-e2e-topic-01,27189,4498,4498
2026-01-17T12:10:18.4360033Z,kafka-e2e-topic-01,32386,5197,5197
2026-01-17T12:10:19.4484957Z,kafka-e2e-topic-01,37448,5062,5062
2026-01-17T12:10:20.4585779Z,kafka-e2e-topic-01,42549,5101,5101
2026-01-17T12:10:21.4679747Z,kafka-e2e-topic-01,47497,4948,4948
2026-01-17T12:10:22.4728151Z,kafka-e2e-topic-01,52592,5095,5095
2026-01-17T12:10:23.4775579Z,kafka-e2e-topic-01,57729,5137,5137
2026-01-17T12:10:24.4900963Z,kafka-e2e-topic-01,62649,4920,4920
2026-01-17T12:10:25.4995452Z,kafka-e2e-topic-01,67741,5092,5092
2026-01-17T12:10:26.5080560Z,kafka-e2e-topic-01,72841,5100,5100
2026-01-17T12:10:27.5154895Z,kafka-e2e-topic-01,78000,5159,5159
2026-01-17T12:10:28.5250134Z,kafka-e2e-topic-01,82944,4944,4944
2026-01-17T12:10:29.5334257Z,kafka-e2e-topic-01,87964,5020,5020
2026-01-17T12:10:30.5414492Z,kafka-e2e-topic-01,93135,5171,5171
2026-01-17T12:10:31.5408833Z,kafka-e2e-topic-01,97986,4851,4851
2026-01-17T12:10:32.5491824Z,kafka-e2e-topic-01,103048,5062,5062
2026-01-17T12:10:33.5583327Z,kafka-e2e-topic-01,108267,5219,5219
2026-01-17T12:10:34.5677048Z,kafka-e2e-topic-01,113250,4983,4983
2026-01-17T12:10:35.5743424Z,kafka-e2e-topic-01,118402,5152,5152
2026-01-17T12:10:36.5848470Z,kafka-e2e-topic-01,123348,4946,4946
2026-01-17T12:10:37.5943212Z,kafka-e2e-topic-01,128458,5110,5110
2026-01-17T12:10:38.6010780Z,kafka-e2e-topic-01,133426,4968,4968
2026-01-17T12:10:39.6013649Z,kafka-e2e-topic-01,138379,4953,4953
2026-01-17T12:10:40.6060090Z,kafka-e2e-topic-01,143546,5167,5167
2026-01-17T12:10:41.6165416Z,kafka-e2e-topic-01,148708,5162,5162
2026-01-17T12:10:42.6245125Z,kafka-e2e-topic-01,153789,5081,5081
2026-01-17T12:10:43.6375828Z,kafka-e2e-topic-01,158830,5041,5041
2026-01-17T12:10:44.6371646Z,kafka-e2e-topic-01,163813,4983,4983
2026-01-17T12:10:45.6415390Z,kafka-e2e-topic-01,168759,4946,4946
2026-01-17T12:10:46.6461585Z,kafka-e2e-topic-01,173810,5051,5051
2026-01-17T12:10:47.6465052Z,kafka-e2e-topic-01,178760,4950,4950
2026-01-17T12:10:48.6578430Z,kafka-e2e-topic-01,183925,5165,5165
2026-01-17T12:10:49.6648489Z,kafka-e2e-topic-01,188892,4967,4967
2026-01-17T12:10:50.6710036Z,kafka-e2e-topic-01,193950,5058,5058
2026-01-17T12:10:51.6740867Z,kafka-e2e-topic-01,198950,5000,5000
2026-01-17T12:10:52.6829799Z,kafka-e2e-topic-01,203950,5000,5000
2026-01-17T12:10:53.6846643Z,kafka-e2e-topic-01,208950,5000,5000
2026-01-17T12:10:54.6915220Z,kafka-e2e-topic-01,213950,5000,5000
2026-01-17T12:10:55.6927187Z,kafka-e2e-topic-01,218950,5000,5000
2026-01-17T12:10:56.7000285Z,kafka-e2e-topic-01,223950,5000,5000
2026-01-17T12:10:57.7082515Z,kafka-e2e-topic-01,228950,5000,5000
2026-01-17T12:10:58.7092059Z,kafka-e2e-topic-01,233950,5000,5000
2026-01-17T12:10:59.7097614Z,kafka-e2e-topic-01,238950,5000,5000
2026-01-17T12:11:00.7179056Z,kafka-e2e-topic-01,243950,5000,5000
2026-01-17T12:11:01.7257812Z,kafka-e2e-topic-01,248950,5000,5000
2026-01-17T12:11:02.7384282Z,kafka-e2e-topic-01,253950,5000,5000
2026-01-17T12:11:03.7426235Z,kafka-e2e-topic-01,258950,5000,5000
2026-01-17T12:11:04.7569340Z,kafka-e2e-topic-01,263950,5000,5000
2026-01-17T12:11:05.7664504Z,kafka-e2e-topic-01,268950,5000,5000
2026-01-17T12:11:06.7675841Z,kafka-e2e-topic-01,273950,5000,5000
2026-01-17T12:11:07.7755374Z,kafka-e2e-topic-01,278950,5000,5000
2026-01-17T12:11:08.7835362Z,kafka-e2e-topic-01,283950,5000,5000
2026-01-17T12:11:09.7916030Z,kafka-e2e-topic-01,288950,5000,5000
2026-01-17T12:11:10.8001030Z,kafka-e2e-topic-01,293950,5000,5000
2026-01-17T12:11:11.8014294Z,kafka-e2e-topic-01,298950,5000,5000
2026-01-17T12:11:12.8079303Z,kafka-e2e-topic-01,303950,5000,5000
2026-01-17T12:11:13.8163599Z,kafka-e2e-topic-01,308950,5000,5000
2026-01-17T12:11:14.8177663Z,kafka-e2e-topic-01,313950,5000,5000
2026-01-17T12:11:15.8221603Z,kafka-e2e-topic-01,318950,5000,5000
2026-01-17T12:11:16.8261711Z,kafka-e2e-topic-01,323950,5000,5000
2026-01-17T12:11:17.8335325Z,kafka-e2e-topic-01,328950,5000,5000
2026-01-17T12:11:18.8406723Z,kafka-e2e-topic-01,333950,5000,5000
2026-01-17T12:11:19.8430343Z,kafka-e2e-topic-01,338950,5000,5000
2026-01-17T12:11:20.8498195Z,kafka-e2e-topic-01,343950,5000,5000
2026-01-17T12:11:21.8570906Z,kafka-e2e-topic-01,348950,5000,5000
2026-01-17T12:11:22.8595489Z,kafka-e2e-topic-01,353950,5000,5000
2026-01-17T12:11:23.8597022Z,kafka-e2e-topic-01,358950,5000,5000
2026-01-17T12:11:24.8667029Z,kafka-e2e-topic-01,363950,5000,5000
2026-01-17T12:11:25.8747347Z,kafka-e2e-topic-01,368950,5000,5000
2026-01-17T12:11:26.8760458Z,kafka-e2e-topic-01,373950,5000,5000
2026-01-17T12:11:27.8830506Z,kafka-e2e-topic-01,378950,5000,5000
2026-01-17T12:11:28.8827564Z,kafka-e2e-topic-01,383950,5000,5000
2026-01-17T12:11:29.8842056Z,kafka-e2e-topic-01,388950,5000,5000
2026-01-17T12:11:30.8926527Z,kafka-e2e-topic-01,393950,5000,5000
2026-01-17T12:11:31.9010349Z,kafka-e2e-topic-01,398950,5000,5000
2026-01-17T12:11:32.9014096Z,kafka-e2e-topic-01,403950,5000,5000
2026-01-17T12:11:33.9060022Z,kafka-e2e-topic-01,408950,5000,5000
2026-01-17T12:11:34.9170643Z,kafka-e2e-topic-01,413950,5000,5000
2026-01-17T12:11:35.9227457Z,kafka-e2e-topic-01,418950,5000,5000
2026-01-17T12:11:36.9263358Z,kafka-e2e-topic-01,423950,5000,5000
2026-01-17T12:11:37.9345972Z,kafka-e2e-topic-01,428950,5000,5000
2026-01-17T12:11:38.9426717Z,kafka-e2e-topic-01,433950,5000,5000
2026-01-17T12:11:39.9569425Z,kafka-e2e-topic-01,438950,5000,5000
2026-01-17T12:11:40.9653881Z,kafka-e2e-topic-01,443971,5021,5021
2026-01-17T12:11:41.9648748Z,kafka-e2e-topic-01,448956,4985,4985
2026-01-17T12:11:42.9743095Z,kafka-e2e-topic-01,453963,5007,5007
2026-01-17T12:11:43.9816693Z,kafka-e2e-topic-01,459049,5086,5086
2026-01-17T12:11:44.9894672Z,kafka-e2e-topic-01,464251,5202,5202
2026-01-17T12:11:45.9971398Z,kafka-e2e-topic-01,469060,4809,4809
2026-01-17T12:11:47.0066236Z,kafka-e2e-topic-01,474176,5116,5116
2026-01-17T12:11:48.0295150Z,kafka-e2e-topic-01,479513,5337,5337
2026-01-17T12:11:49.0347793Z,kafka-e2e-topic-01,484487,4974,4974
2026-01-17T12:11:50.0342387Z,kafka-e2e-topic-01,489448,4961,4961
2026-01-17T12:11:51.0501762Z,kafka-e2e-topic-01,494607,5159,5159
2026-01-17T12:11:52.0616586Z,kafka-e2e-topic-01,499665,5058,5058
2026-01-17T12:11:53.0718586Z,kafka-e2e-topic-01,504816,5151,5151
2026-01-17T12:11:54.0748104Z,kafka-e2e-topic-01,509722,4906,4906
2026-01-17T12:11:55.0787947Z,kafka-e2e-topic-01,514862,5140,5140
2026-01-17T12:11:56.0822454Z,kafka-e2e-topic-01,519729,4867,4867
2026-01-17T12:11:57.0894528Z,kafka-e2e-topic-01,524830,5101,5101
2026-01-17T12:11:58.0950481Z,kafka-e2e-topic-01,529981,5151,5151
2026-01-17T12:11:59.1060593Z,kafka-e2e-topic-01,534795,4814,4814
2026-01-17T12:12:00.1174159Z,kafka-e2e-topic-01,540089,5294,5294
2026-01-17T12:12:01.1292501Z,kafka-e2e-topic-01,545131,5042,5042
2026-01-17T12:12:02.1321412Z,kafka-e2e-topic-01,550152,5021,5021
2026-01-17T12:12:03.1449926Z,kafka-e2e-topic-01,555240,5088,5088
2026-01-17T12:12:04.1508997Z,kafka-e2e-topic-01,560203,4963,4963
2026-01-17T12:12:05.1509098Z,kafka-e2e-topic-01,565285,5082,5082
2026-01-17T12:12:06.1626419Z,kafka-e2e-topic-01,570450,5165,5165
2026-01-17T12:12:07.1665482Z,kafka-e2e-topic-01,575342,4892,4892
2026-01-17T12:12:08.1750459Z,kafka-e2e-topic-01,580528,5186,5186
2026-01-17T12:12:09.1880019Z,kafka-e2e-topic-01,585610,5082,5082
2026-01-17T12:12:10.1975726Z,kafka-e2e-topic-01,590610,5000,5000
2026-01-17T12:12:11.2010894Z,kafka-e2e-topic-01,595539,4929,4929
2026-01-17T12:12:12.2157865Z,kafka-e2e-topic-01,600831,5292,5292
2026-01-17T12:12:13.2215309Z,kafka-e2e-topic-01,605870,5039,5039
2026-01-17T12:12:14.2265270Z,kafka-e2e-topic-01,610811,4941,4941
2026-01-17T12:12:15.2396235Z,kafka-e2e-topic-01,615899,5088,5088
2026-01-17T12:12:16.2543033Z,kafka-e2e-topic-01,621131,5232,5232
2026-01-17T12:12:17.2648669Z,kafka-e2e-topic-01,626095,4964,4964
2026-01-17T12:12:18.2722773Z,kafka-e2e-topic-01,631261,5166,5166
2026-01-17T12:12:19.2835185Z,kafka-e2e-topic-01,636262,5001,5001
2026-01-17T12:12:20.2932917Z,kafka-e2e-topic-01,641332,5070,5070
2026-01-17T12:12:21.3022201Z,kafka-e2e-topic-01,646479,5147,5147
2026-01-17T12:12:22.3170712Z,kafka-e2e-topic-01,651570,5091,5091
2026-01-17T12:12:23.3300735Z,kafka-e2e-topic-01,656554,4984,4984
2026-01-17T12:12:24.3338186Z,kafka-e2e-topic-01,661659,5105,5105
2026-01-17T12:12:25.3416746Z,kafka-e2e-topic-01,666586,4927,4927
2026-01-17T12:12:26.3497203Z,kafka-e2e-topic-01,671717,5131,5131
2026-01-17T12:12:27.3500100Z,kafka-e2e-topic-01,676721,5004,5004
2026-01-17T12:12:28.3580257Z,kafka-e2e-topic-01,681871,5150,5150
2026-01-17T12:12:29.3586574Z,kafka-e2e-topic-01,686866,4995,4995
2026-01-17T12:12:30.3723698Z,kafka-e2e-topic-01,691871,5005,5005
2026-01-17T12:12:31.3817694Z,kafka-e2e-topic-01,696985,5114,5114
2026-01-17T12:12:32.3890070Z,kafka-e2e-topic-01,701949,4964,4964
2026-01-17T12:12:33.3940186Z,kafka-e2e-topic-01,706933,4984,4984
2026-01-17T12:12:34.3981849Z,kafka-e2e-topic-01,711991,5058,5058
2026-01-17T12:12:35.4008237Z,kafka-e2e-topic-01,717156,5165,5165
2026-01-17T12:12:36.4098105Z,kafka-e2e-topic-01,722258,5102,5102
2026-01-17T12:12:37.4188319Z,kafka-e2e-topic-01,727147,4889,4889
2026-01-17T12:12:38.4289417Z,kafka-e2e-topic-01,732385,5238,5238
2026-01-17T12:12:39.4405910Z,kafka-e2e-topic-01,737336,4951,4951
2026-01-17T12:12:40.4489292Z,kafka-e2e-topic-01,742341,5005,5005
2026-01-17T12:12:41.4579414Z,kafka-e2e-topic-01,747576,5235,5235
2026-01-17T12:12:42.4663127Z,kafka-e2e-topic-01,752538,4962,4962
2026-01-17T12:12:43.4677664Z,kafka-e2e-topic-01,757654,5116,5116
2026-01-17T12:12:44.4762939Z,kafka-e2e-topic-01,762690,5036,5036
2026-01-17T12:12:45.4910199Z,kafka-e2e-topic-01,767823,5133,5133
2026-01-17T12:12:46.5004513Z,kafka-e2e-topic-01,772828,5005,5005
2026-01-17T12:12:47.5007448Z,kafka-e2e-topic-01,777758,4930,4930
2026-01-17T12:12:48.5015330Z,kafka-e2e-topic-01,782725,4967,4967
2026-01-17T12:12:49.5014188Z,kafka-e2e-topic-01,787681,4956,4956
2026-01-17T12:12:50.5087255Z,kafka-e2e-topic-01,792659,4978,4978
2026-01-17T12:12:51.5094914Z,kafka-e2e-topic-01,797872,5213,5213
2026-01-17T12:12:52.5227379Z,kafka-e2e-topic-01,803033,5161,5161
2026-01-17T12:12:53.5319369Z,kafka-e2e-topic-01,807918,4885,4885
2026-01-17T12:12:54.5388944Z,kafka-e2e-topic-01,813002,5084,5084
2026-01-17T12:12:55.5505680Z,kafka-e2e-topic-01,818117,5115,5115
2026-01-17T12:12:56.5576399Z,kafka-e2e-topic-01,823297,5180,5180
2026-01-17T12:12:57.5624078Z,kafka-e2e-topic-01,828152,4855,4855
2026-01-17T12:12:58.5734202Z,kafka-e2e-topic-01,833423,5271,5271
2026-01-17T12:12:59.5871545Z,kafka-e2e-topic-01,838386,4963,4963
2026-01-17T12:13:00.5963672Z,kafka-e2e-topic-01,843451,5065,5065
2026-01-17T12:13:01.6077171Z,kafka-e2e-topic-01,848536,5085,5085
2026-01-17T12:13:02.6167842Z,kafka-e2e-topic-01,853592,5056,5056
2026-01-17T12:13:03.6179951Z,kafka-e2e-topic-01,858653,5061,5061
