test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
nbomber_default_test_suite_name,Kafka_E2E_MultiTopic,pub_kafka-e2e-topic-01,01:30:18,global information,2709500,2709500,0,500.09,0,0.05,82.28,0.01,0.02,0.14,0.71,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,Kafka_E2E_MultiTopic,sub_kafka-e2e-topic-01,01:30:18,global information,5256,5256,0,0.97,810.59,1030.8,2572.6,1007.62,1012.22,1073.15,1657.86,118.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,Kafka_E2E_MultiTopic,pub_kafka-e2e-topic-02,01:30:18,global information,2709500,2709500,0,500.09,0,0.05,69.72,0.01,0.02,0.14,0.71,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,Kafka_E2E_MultiTopic,sub_kafka-e2e-topic-02,01:30:18,global information,5251,5251,0,0.97,810.6,1031.78,2571.39,1007.62,1012.22,1085.44,1669.12,120.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,Kafka_E2E_MultiTopic,pub_kafka-e2e-topic-03,01:30:18,global information,2709500,2709500,0,500.09,0,0.05,65.43,0.01,0.02,0.15,0.73,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,Kafka_E2E_MultiTopic,sub_kafka-e2e-topic-03,01:30:18,global information,5256,5256,0,0.97,812.3,1030.8,2779.95,1008.13,1012.74,1080.32,1653.76,118.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,Kafka_E2E_MultiTopic,pub_kafka-e2e-topic-04,01:30:18,global information,2709500,2709500,0,500.09,0,0.05,173.04,0.01,0.02,0.14,0.72,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,Kafka_E2E_MultiTopic,sub_kafka-e2e-topic-04,01:30:18,global information,5247,5247,0,0.97,811.37,1032.57,2620.1,1008.13,1012.22,1090.56,1695.74,122.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,Kafka_E2E_MultiTopic,pub_kafka-e2e-topic-05,01:30:18,global information,2709500,2709500,0,500.09,0,0.05,55.15,0.01,0.02,0.15,0.74,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,Kafka_E2E_MultiTopic,sub_kafka-e2e-topic-05,01:30:18,global information,5252,5252,0,0.97,817.43,1031.59,2636.64,1007.62,1012.22,1084.42,1669.12,119.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
