ts_utc,topic,received_total,received_delta,msgs_per_sec
2026-01-17T14:17:08.0457145Z,kafka-e2e-topic-02,0,0,0
2026-01-17T14:17:08.0457145Z,kafka-e2e-topic-03,0,0,0
2026-01-17T14:17:08.0457145Z,kafka-e2e-topic-01,0,0,0
2026-01-17T14:17:09.0586276Z,kafka-e2e-topic-02,0,0,0
2026-01-17T14:17:09.0586276Z,kafka-e2e-topic-03,0,0,0
2026-01-17T14:17:09.0586276Z,kafka-e2e-topic-01,0,0,0
2026-01-17T14:17:09.0586276Z,kafka-e2e-topic-06,0,0,0
2026-01-17T14:17:09.0586276Z,kafka-e2e-topic-07,0,0,0
2026-01-17T14:17:09.0586276Z,kafka-e2e-topic-04,0,0,0
2026-01-17T14:17:09.0586276Z,kafka-e2e-topic-05,0,0,0
2026-01-17T14:17:10.0648706Z,kafka-e2e-topic-08,0,0,0
2026-01-17T14:17:10.0648706Z,kafka-e2e-topic-02,0,0,0
2026-01-17T14:17:10.0648706Z,kafka-e2e-topic-03,0,0,0
2026-01-17T14:17:10.0648706Z,kafka-e2e-topic-01,0,0,0
2026-01-17T14:17:10.0648706Z,kafka-e2e-topic-06,0,0,0
2026-01-17T14:17:10.0648706Z,kafka-e2e-topic-07,0,0,0
2026-01-17T14:17:10.0648706Z,kafka-e2e-topic-04,0,0,0
2026-01-17T14:17:10.0648706Z,kafka-e2e-topic-05,0,0,0
2026-01-17T14:17:12.1121391Z,kafka-e2e-topic-09,0,0,0
2026-01-17T14:17:12.1121391Z,kafka-e2e-topic-08,0,0,0
2026-01-17T14:17:12.1121391Z,kafka-e2e-topic-02,0,0,0
2026-01-17T14:17:12.1121391Z,kafka-e2e-topic-03,0,0,0
2026-01-17T14:17:12.1121391Z,kafka-e2e-topic-10,0,0,0
2026-01-17T14:17:12.1121391Z,kafka-e2e-topic-01,0,0,0
2026-01-17T14:17:12.1121391Z,kafka-e2e-topic-06,0,0,0
2026-01-17T14:17:12.1121391Z,kafka-e2e-topic-07,0,0,0
2026-01-17T14:17:12.1121391Z,kafka-e2e-topic-04,0,0,0
2026-01-17T14:17:12.1121391Z,kafka-e2e-topic-05,0,0,0
2026-01-17T14:17:13.1167562Z,kafka-e2e-topic-09,0,0,0
2026-01-17T14:17:13.1167562Z,kafka-e2e-topic-08,0,0,0
2026-01-17T14:17:13.1167562Z,kafka-e2e-topic-02,1000,1000,1000
2026-01-17T14:17:13.1167562Z,kafka-e2e-topic-03,1000,1000,1000
2026-01-17T14:17:13.1167562Z,kafka-e2e-topic-10,0,0,0
2026-01-17T14:17:13.1167562Z,kafka-e2e-topic-01,1000,1000,1000
