ts_utc;topic;received_total;received_delta;msgs_per_sec;
2026-01-18T15:28:41.7362707Z;long-run-topic-01;0;0;0;0
2026-01-18T15:28:42.7466090Z;long-run-topic-01;595;595;595;595
2026-01-18T15:28:43.7472394Z;long-run-topic-01;1102;507;507;507
2026-01-18T15:28:44.7576668Z;long-run-topic-01;1602;500;500;500
2026-01-18T15:28:45.7705613Z;long-run-topic-01;2115;513;513;513
2026-01-18T15:28:46.7827764Z;long-run-topic-01;2635;520;520;520
2026-01-18T15:28:47.7952134Z;long-run-topic-01;3133;498;498;498
2026-01-18T15:28:48.8060413Z;long-run-topic-01;3675;542;542;542
2026-01-18T15:28:49.8087951Z;long-run-topic-01;4142;467;467;467
2026-01-18T15:28:50.8173103Z;long-run-topic-01;4646;504;504;504
2026-01-18T15:28:51.8175528Z;long-run-topic-01;5148;502;502;502
2026-01-18T15:28:52.8209614Z;long-run-topic-01;5660;512;512;512
2026-01-18T15:28:53.8304441Z;long-run-topic-01;6135;475;475;475
2026-01-18T15:28:54.8376909Z;long-run-topic-01;6674;539;539;539
2026-01-18T15:28:55.8483893Z;long-run-topic-01;7144;470;470;470
2026-01-18T15:28:56.8485233Z;long-run-topic-01;7683;539;539;539
2026-01-18T15:28:57.8490730Z;long-run-topic-01;8181;498;498;498
2026-01-18T15:28:58.8550353Z;long-run-topic-01;8671;490;490;490
2026-01-18T15:28:59.8599225Z;long-run-topic-01;9193;522;522;522
2026-01-18T15:29:00.8644342Z;long-run-topic-01;9688;495;495;495
2026-01-18T15:29:01.8649432Z;long-run-topic-01;10193;505;505;505
2026-01-18T15:29:02.8735833Z;long-run-topic-01;10699;506;506;506
2026-01-18T15:29:03.8735681Z;long-run-topic-01;11211;512;512;512
2026-01-18T15:29:04.8734062Z;long-run-topic-01;11703;492;492;492
2026-01-18T15:29:05.8732766Z;long-run-topic-01;12200;497;497;497
2026-01-18T15:29:06.8838488Z;long-run-topic-01;12706;506;506;506
2026-01-18T15:29:07.8904767Z;long-run-topic-01;13204;498;498;498
2026-01-18T15:29:08.8973982Z;long-run-topic-01;13709;505;505;505
2026-01-18T15:29:09.8987687Z;long-run-topic-01;14211;502;502;502
2026-01-18T15:29:10.8998879Z;long-run-topic-01;14709;498;498;498
2026-01-18T15:29:11.9031259Z;long-run-topic-01;15228;519;519;519
2026-01-18T15:29:12.9065616Z;long-run-topic-01;15713;485;485;485
2026-01-18T15:29:13.9068704Z;long-run-topic-01;16222;509;509;509
2026-01-18T15:29:14.9075918Z;long-run-topic-01;16738;516;516;516
2026-01-18T15:29:15.9139609Z;long-run-topic-01;17219;481;481;481
2026-01-18T15:29:16.9151385Z;long-run-topic-01;17729;510;510;510
2026-01-18T15:29:17.9251406Z;long-run-topic-01;18229;500;500;500
2026-01-18T15:29:18.9306317Z;long-run-topic-01;18728;499;499;499
2026-01-18T15:29:19.9311955Z;long-run-topic-01;19229;501;501;501
2026-01-18T15:29:20.9314825Z;long-run-topic-01;19742;513;513;513
2026-01-18T15:29:21.9388927Z;long-run-topic-01;20248;506;506;506
2026-01-18T15:29:22.9417914Z;long-run-topic-01;20743;495;495;495
2026-01-18T15:29:23.9418519Z;long-run-topic-01;21246;503;503;503
2026-01-18T15:29:24.9428194Z;long-run-topic-01;21728;482;482;482
